"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Lobo marino común","No data","No data","1/27/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","U. San Sebastián - Pto Montt","1/27/2017","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Calbuco","1/27/2017","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","U. San Sebastián - Pto Montt","1/27/2017","Otro","Muerte"
"Lobo marino común","No data","No data","1/28/2017","No data","No data"
"Pato Jergón chico","No data","Puerto Varas","2/3/2017","No data","No data"
"Gaviota dominicana","No data","Puerto Varas","2/3/2017","No data","No data"
"Lobo marino común","Juvenil","No data","2/4/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Pto Montt","2/5/2017","Trauma","Liberación"
"Pingüino de Magallanes","Adulto","Pto Montt","2/5/2017","Otro","Muerte"
"Cachaña","No data","No data","2/5/2017","No data","No data"
"Pudú","Adulto","No data","2/6/2017","Ataque de perros","Muerte"
"Huairavo","No data","No data","2/6/2017","No data","No data"
"Tortuga verde","No data","No data","2/9/2017","No data","No data"
"Gaviota Cahuil","No data","No data","2/10/2017","No data","No data"
"Pudú","Adulto","Dalcahue","2/11/2017","Atropello","Muerte"
"Cormorán yeco","No data","Ancud ","2/13/2017","Trauma","Muerte"
"Pudú","Juvenil","Calbuco","2/14/2017","Orfandad","Exhibición"
"Traro","No data","Chaitén","2/14/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Hualaihué","2/16/2017","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/18/2017","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/19/2017","Trauma","Liberación"
"Concón","No data","No data","2/25/2017","No data","No data"
"Peuquito","No data","No data","3/11/2017","No data","No data"
"Pingüino de Magallanes","Juvenil","Dalcahue","3/25/2017","Otro","Muerte"
"Loro Choroy","Adulto","No data","4/8/2017","Trauma","No data"
"Loro Choroy","Adulto","No data","4/8/2017","No data","No data"
"Cachaña","No data","No data","4/8/2017","No data","No data"
"Cachaña","No data","No data","4/8/2017","No data","No data"
"Lobo marino común","Adulto","Quemchi","4/23/2017","Trauma","No data"
"Pingüino de Magallanes","Adulto","Ancud ","4/28/2017","Trauma","Muerte"
"Cormorán yeco","No data","Castro","5/2/2017","No data","No data"
"Tórtola","Juvenil","Ancud ","5/6/2017","Trauma","No data"
"Halcón peregrino","Adulto","Dalcahue","5/7/2017","Trauma","No data"
"Gaviota dominicana","Adulto","No data","5/12/2017","Trauma","No data"
"Petrel-Paloma Antártico","Adulto","Ancud ","5/15/2017","Otro","No data"
"Cachaña","Adulto","Ancud ","5/24/2017","Trauma","No data"
"Lobo marino común","Juvenil","Castro","6/9/2017","Otro","No data"
"Gaviota dominicana","No data","No data","6/21/2017","No data","No data"
"Cormorán lile","No data","Ancud ","6/21/2017","No data","No data"
"Pelícano","No data","Ancud ","6/22/2017","Trauma","No data"
"Pelícano","No data","Ancud","7/14/2017","No data","No data"
"Huairavo","No data","Ancud","7/21/2017","Trauma","No data"
"Pato Quetru","No data","No data","7/21/2017","No data","Remisión"
"Pudú","Adulto","Ancud ","7/23/2017","Ingreso muerto","Muerte"
"Pelícano","Juvenil","Ancud","8/11/2017","Trauma","No data"
"Pingüino de Magallanes","Juvenil","Quinchao","8/13/2017","Otro","Muerte"
"Guiña","Adulto","No data","8/18/2017","Ingreso muerto","No data"
"Pudú","Juvenil","Ancud ","8/19/2017","No data","Muerte"
"Pelícano","Adulto","Ancud","8/26/2017","Trauma","No data"
"Lobo marino común","No data","Quellón","9/11/2017","Trauma","No data"
"Pudú","No data","Ancud","9/28/2017","Ingreso muerto","Muerte"
"Loro Choroy","No data","Ancud","10/3/2017","Otro","No data"
"Pudú","Adulto","Castro","10/5/2017","Atropello","Muerte"
"Gaviota dominicana","No data","Castro","10/5/2017","Trauma","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Pato Jergón","Neonato","Ancud","10/6/2017","No data","No data"
"Picaflor chico","Adulto","Ancud","10/6/2017","Ingreso muerto","No data"
"Cisne cuello negro","No data","Quemchi","10/6/2017","Ingreso muerto","No data"
"Cisne cuello negro","Adulto","Castro","10/10/2017","Otro","No data"
"Pudú","Adulto","Quemchi","10/27/2017","Ataque de perros","Muerte"
"Bandurria","Juvenil","Quemchi","10/27/2017","Trauma","No data"
"Petrel Gigante Antártico","Juvenil","Ancud ","11/1/2017","No data","No data"
"Guiña","Juvenil","Dalcahue","11/3/2017","Trauma ","No data"
"Pudú","Juvenil","Quemchi","11/9/2017","Orfandad","Muerte"
"Tiuque","Neonato","Castro","11/16/2017","No data","No data"
"Guiña","No data","Castro","11/20/2017","Atropello","No data"
"Tiuque","Neonato","Castro","12/1/2017","Orfandad","No data"
"Pudú","Adulto","Quellón","12/1/2017","Atropello","Muerte"
"Pingüino de Magallanes","Adulto","Ancud ","12/4/2017","Trauma","Remisión"
"Cormorán Imperial","No data","Ancud ","12/6/2017","Remisión","No data"
"Lobo marino común","Juvenil","Castro","12/7/2017","Remisión","No data"
"Pudú","Adulto","Queilen","12/7/2017","Atropello","Muerte"
"Bandurria","No data","Castro","12/9/2017","Ataque de perros","No data"
"Bandurria","No data","Castro","12/9/2017","No data","No data"
"Gaviota dominicana","No data","Ancud","12/13/2017","No data","No data"
"Bandurria","Juvenil","Castro","12/15/2019","Trauma","No data"
"Pudú","Juvenil","Castro","12/21/2017","Orfandad","Muerte"
"Bandurria","Juvenil","Ancud","12/22/2017","Ataque de perros","No data"
"Tiuque","Juvenil","Ancud","5/1/2018","Trauma","Muerte"
"Queltehue","Adulto","Ancud","8/1/2018","Trauma","Muerte"
"Monito del monte","Neonato","Chonchi","9/1/2018","Orfandad","Muerte"
"Monito del monte","Neonato","Chonchi","9/1/2018","Orfandad","Muerte"
"Monito del monte","Neonato","Chonchi","9/1/2018","Orfandad","Muerte"
"Loro Choroy","Adulto","Ancud","1/13/2018","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Chonchi","1/14/2018","Otro","Liberación"
"Lobo marino común","Juvenil","Archipielago de los Chonos","1/15/2018","Orfandad","Muerte"
"Pingüino de Magallanes","Juvenil","Puqueldon","1/18/2018","Otro","Liberación"
"Gaviota dominicana","Adulto","Ancud","1/23/2018","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Chonchi","1/23/2018","Trauma","Muerte"
"Gaviota dominicana","Juvenil","Ancud","1/24/2018","Otro","Liberación"
"Pudú","Adulto","Ancud","1/25/2018","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","1/30/2018","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","2/2/2018","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","4/2/2018","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Quemchi","5/2/2018","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","Quinchao","7/2/2018","Otro","Muerte"
"Gaviota dominicana","Juvenil","Ancud","8/2/2018","Ingreso muerto","Muerte"
"Pingüino de Magallanes","Adulto","Tirua","10/2/2018","Otro","Liberación"
"Pingüino de Magallanes","Adulto","Quellón","10/2/2018","Otro
","Muerte"
"Queltehue","Juvenil","Ancud","2/13/2018","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","2/22/2018","Trauma  ","Muerte"
"Pingüino de Magallanes","Juvenil","Quemchi","2/22/2018","Trauma ","Muerte"
"Huairavo","Juvenil","Castro","2/27/2018","Trauma","Exhibición"
"Gaviota dominicana","Juvenil","Ancud","8/3/2018","Trauma","Muerte"
"Cachaña","Adulto","Ancud","3/14/2018","No data","No data"
"Petrel gigante","Juvenil","No data","3/14/2018","Trauma","Muerte"
"Pudú","Adulto","Castro","3/16/2018","Ataque de perros","Muerte"
"Cormorán yeco","Juvenil","Ancud","3/26/2018","Otro","Muerte"
"Pingüino de Magallanes","Adulto","Dalcahue","3/26/2018","Otro","Muerte"
"Cisne de cuello negro","Adulto","Ancud","3/27/2018","Otro","Liberación"
"Cisne de cuello negro","Juvenil","Queilen","3/28/2018","Trauma","Muerte"
"Loro Choroy","Adulto","Castro","2/4/2018","Trauma","Muerte"
"Pingüino de Magallanes","Adulto","Ancud","4/4/2018","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","8/4/2018","Otro
","Liberación"
"Quique","No data","Dalcahue","4/13/2018","Ingreso muerto","No data"
"Bandurria","Juvenil","Ancud","4/17/2018","Trauma","Muerte"
"Gaviota dominicana","Adulto","Ancud","4/19/2018","Trauma","Muerte  "
"Loro Choroy","Adulto","Ancud","4/19/2018","Trauma","Muerte"
"Pudú","Neonato","Castro","4/23/2018","Orfandad","Muerte"
"Tiuque","Juvenil","Ancud","4/25/2018","Trauma","Muerte"
"Cernícalo","Adulto","Ancud","8/5/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Ancud","5/19/2018","Otro","Muerte"
"Pudú","Juvenil","Chonchi","4/6/2018","Atropello","Muerte  "
"Pudú","Adulto","Quemchi","6/15/2018","Ataque de perros","Liberación"
"Loro Choroy","Adulto","Castro","6/25/2018","Remisión","Muerte"
"Concón","Adulto","Ancud","1/7/2018","Trauma","Muerte"
"Cachaña","Adulto","Castro","5/7/2018","Remisión","Liberación"
"Pudú","Adulto","Quellón","5/7/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Aysen","7/7/2018","Otro","Liberación"
"Tiuque","Juvenil","Ancud","7/20/2018","Trauma","Liberación"
"Gaviota dominicana","Adulto","Dalcahue","7/25/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Quellón","7/29/2018","Otro","Liberación"
"Loro Choroy","Adulto","Chonchi","9/8/2018","Ingreso muerto","Muerte"
"Queltehue","Adulto","Ancud","8/22/2018","Trauma","Muerte"
"Pudú","Juvenil","Quellón","8/29/2018","Trauma","Muerte"
"Pudú","Juvenil","Quellón","3/9/2018","Ataque de perros","Liberación"
"Pudú","Juvenil","Ancud","11/9/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Quellón","9/21/2018","Otro","Liberación"
"Pelícano","Adulto","Ancud","9/25/2018","Trauma","Muerte"
"Lobo marino de pelo fino austral","Adulto","Chonchi","9/29/2018","Otro","Muerte"
"Cisne de cuello negro","Adulto","Quemchi","9/27/2018","Otro","Muerte"
"Cisne de cuello negro","Adulto","Ancud","2/10/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Quemchi","9/10/2018","Otro","Muerte  "
"Huairavo","Adulto","Ancud","10/30/2018","Trauma","Muerte  "
"Bandurria","Neonato","Ancud","10/31/2018","Orfandad","Muerte  "
"Loro Choroy","Adulto","Ancud","11/3/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Quellón","11/8/2018","Otro","Liberación"
"Lobo marino común","Adulto","Ancud","11/11/2018","Otro
","Muerte"
"Chuncho","Adulto","Ancud","11/25/2018","Otro
","Muerte"
"Caranca","Neonato","Ancud","11/28/2018","Orfandad","Muerte"
"Gaviota dominicana","Adulto","Ancud","12/5/2018","Trauma","Muerte"
"Bandurria","Adulto","Quellón","12/7/2018","Trauma","Muerte"
"Pingüino de Magallanes","Adulto","Ancud","12/20/2018","Trauma","Muerte"
"Lobo marino común","Juvenil","Quinchao","12/27/2018","Trauma","Remisión "
"Cisne de cuello negro","Adulto","Ancud","12/28/2018","Otro
","Muerte"
"Pudú","Adulto","Chonchi","12/31/2018","Ataque de perros","Muerte  "
"Traro","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Rehabilitación"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte  "
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Traro","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte  "
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte  "
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","No data"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","10/4/2018","Remisión","Muerte"
"Loro Choroy","Adulto","Senda Romahue","12/20/2018","Remisión","No data"
"Loro Choroy","Adulto","Senda Romahue","12/20/2018","Remisión","No data"
"Loro Choroy","Adulto","Senda Romahue","12/20/2018","Remisión","No data"
"Loro Choroy","Adulto","Senda Romahue","12/20/2018","Remisión","No data"
"Loro Choroy","Adulto","Senda Romahue","12/20/2018","Remisión","No data"
"Loro Choroy","Adulto","Osorno","12/20/2018","Remisión","No data"
"Pudú","Adulto","Pto Varas","12/20/2018","Remisión","Muerte"
"Pingüino de Magallanes","Juvenil","Guaitecas","1/6/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","1/11/2019","Otro","Liberación"
"Bandurria","Juvenil","Ancud","1/11/2019","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","1/12/2019","Trauma","Muerte"
"Pudú","Adulto","Ancud","1/12/2019","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","1/14/2019","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","Chonchi","1/14/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Quemchi","1/16/2019","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Chonchi","1/18/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","1/21/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","1/21/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Chonchi","1/22/2019","Trauma","Liberación"
"Pelícano","Juvenil","Ancud","1/22/2019","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","U. San Sebastián - Pto Montt","1/23/2019","Trauma","Liberación"
"Gaviota Dominicana","Adulto","Ancud","1/23/2019","Trauma","Liberación"
"Bandurria","Adulto","Ancud","1/25/2019","Trauma","Liberación"
"Cernícalo","Juvenil","Castro","1/25/2019","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","1/25/2019","Ataque de perros","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","1/25/2019","Otro","Liberación"
"Pudú","Juvenil","Ancud","1/26/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","1/26/2019","Trauma","Liberación"
"Pingüino de Magallanes","Juvenil","Calbuco","1/28/2019","Trauma","Muerte"
"Pelícano","Juvenil","Ancud","1/28/2019","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Chonchi","1/29/2019","Otro","Liberación"
"Pudú","Adulto","Hualaihue","1/29/2019","Ataque de perros","Muerte"
"Bandurria","Adulto","Ancud","1/29/2019","Trauma","Muerte"
"Cachaña","Juvenil","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Muerte"
"Cisne Coscoroba","Adulto","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Muerte"
"Tiuque","Polluelo","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Liberación"
"Tiuque","Juvenil","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Muerte"
"Tiuque","Juvenil","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Muerte"
"Pato Real","Adulto","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Muerte"
"Pato Jergón Chico","Adulto","U. San Sebastián - Pto Montt","1/31/2019","Remisión","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","2/1/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/3/2019","Orfandad","Liberación"
"Lobo marino común","Juvenil","Ancud","2/4/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud","2/5/2019","Trauma","Muerte"
"Pudú","Adulto","Quellón","2/7/2019","Ataque de perros","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/9/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/11/2019","Trauma ","Muerte"
"Monito del monte","Juvenil","Cochamó","2/12/2019","Orfandad","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/15/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Pto Montt","2/17/2019","Trauma","Muerte"
"Pingüino de Magallanes","Adulto","Ancud","2/18/2019","Trauma","Muerte"
"Lobo marino común","Juvenil","Quellón","2/18/2019","Orfandad","Muerte"
"Cormorán imperial","Juvenil","Ancud","2/21/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/21/2019","Trauma","Muerte"
"Pingüino de Humboldt","Adulto","Maullín","2/21/2019","Otro","Liberación"
"Pingüino de Magallanes","Juvenil","Ancud  ","2/21/2019","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/22/2019","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Calbuco","2/23/2019","Trauma ","Liberación"
"Pingüino de Magallanes","Adulto","Chonchi","2/24/2019","Otro","Muerte"
"Tiuque","Juvenil","Chonchi","2/26/2019","Trauma","Muerte"
"Loro Choroy","Adulto","Chonchi","2/27/2019","Trauma","Muerte"
"Pingüino de Magallanes","Adulto","Chonchi","2/27/2019","Trauma ","Liberación"
"Gaviota dominicana","Adulto","Ancud","2/27/2019","Trauma","Muerte"
"Loro Choroy","Adulto","Castro","3/2/2019","Otro","Muerte"
"Paloma","Neonato","Quellón","3/6/2019","Orfandad","Muerte"
"Bandurria","Juvenial","Ancud","3/7/2019","Trauma","Muerte"
"Loro Choroy","Adulto","Ancud  ","3/11/2019","Trauma","Muerte"
