"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Loro Choroy","Neonato","Quemchi","2/17/2023","Otro","Liberación"
"Pudú","Neonato"," Quemchi","2/17/2023","Ingreso muerto","Muerte"
"Pingüino Magallánico","Adulto","Ancud  ","2/21/2023","Otro","Muerte"
"Pudú","Neonato","Ancud","2/27/2023","Atropello","Muerte"
"Zorro Chilote","Adulto ","Quellón","2/27/2023","Otro","Muerte"
"Loro choroy","Juvenil","Castro","3/1/2023","Trauma","Rehabilitación"
"Loro cachaña","Juvenil","Dalcahue","3/3/2023","Trauma","Muerte"
"Tiuque","Juvenil","Castro","3/8/2023","Trauma","Exhibición"
"Loro Choroy","Neonato","Quellón","3/10/2023","Ataque de perros","Rehabilitación"
"Loro Choroy","Neonato","Ancud","3/13/2023","Trauma","Muerte"
"Loro Choroy","Neonato","Castro","3/17/2023","Otro","Rehabilitación"
"Pudú","Adulto","Ancud  ","3/18/2023","Atropello","Muerte"
"Gaviota Dominicana","Juvenil","Ancud  ","3/19/2023","Trauma","Muerte"
"Pudú","Adulto","Chonchi","3/20/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Dalcahue","3/21/2023","Atropello","Liberación"
"Tiuque","Juvenil","Ancud","3/21/2023","Trauma","Exhibición"
"Queltehue","Juvenil","puqueldon","3/22/2023","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","3/25/2023","Atropello","Muerte"
"Gato Güiña","Juvenil","Ancud  ","3/25/2023","Otro","Muerte"
"Pudú","Neonato","Ancud  ","3/26/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Chonchi","3/28/2023","Ataque de perros","Muerte"
"Bailarín","Adulto","Frutillar","3/31/2023","Trauma","Muerte"
"Loro Cachaña","Juvenil","Pto Montt","4/1/2023","Trauma","Muerte"
"Pudú","Adulto","Ancud","4/4/2023","Atropello","Muerte"
"Pudú","Adulto","Ancud  ","4/4/2023","Atropello","Muerte"
"Monito del Monte","Juvenil","Los muermos","4/6/2023","Otro","Liberación"
"Pudú","Adulto","Quellón","4/4/2023","Otro","Liberación"
"Traro","Juvenil","Chonchi","4/13/2023","Otro","Muerte"
"Loro Choroy","Juvenil","Puerto Varas","4/17/2023","Otro","Muerte"
"Loro Cachaña","Juvenil","Castro","4/17/2023","Trauma","Liberación"
"Loro Cachaña","Juvenil","Osorno","4/21/2023","Trauma","Rehabilitación"
"Loro Choroy","Juvenil","Osorno","4/21/2023","Trauma","Rehabilitación"
"Loro Choroy","Juvenil","Quellón","4/21/2023","Otro","Rehabilitación"
"Pudú","Adulto","Quemchi","4/29/2023","Atropello","Liberación"
"Pudú","Adulto","Chonchi","5/1/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Quemchi","5/1/2023","Atropello","Muerte"
"Monito del Monte","Juvenil","Chonchi","5/5/2023","Otro","Muerte"
"Nuco","Juvenil","U. San Sebastián - Pto Montt","5/8/2023","Otro","Exhibición"
"Pudú","Neonato","U. San Sebastián - Pto Montt","5/8/2023","Atropello","Rehabilitación"
"Loro Choroy","Juvenil","U. San Sebastián - Pto Montt","5/8/2023","Orfandad","Rehabilitación"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","5/8/2023","Trauma","Rehabilitación"
"Loro Choroy","Juvenil","U. San Sebastián - Pto Montt","5/8/2023","Otro","Rehabilitación"
"Loro Choroy","Juvenil","U. San Sebastián - Pto Montt","5/8/2023","Trauma","Rehabilitación"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","5/8/2023","Trauma","Rehabilitación"
"Loro Choroy","Adulto","U. San Sebastián - Pto Montt","5/8/2023","Trauma","Rehabilitación"
"Loro Choroy","Juvenil","U. San Sebastián - Pto Montt","5/8/2023","Otro","Rehabilitación"
"Pudú","Adulto","Ancud  ","5/12/2023","Ataque de perros","Muerte"
"Queltehue","Adulto","Chonchi","5/19/2023","Otro","Liberación"
"Chuncho","Adulto","Quemchi","5/20/2023","Atropello","Liberación"
"Chuncho","Juvenil"," Ancud","5/20/2023","Otro","Muerte"
"Pudú","Adulto","Quemchi","5/23/2023","Otro","Muerte"
"Tiuque","Juvenil"," Ancud","5/31/2023","Trauma","Liberación"
"Zorzal","Adulto"," Ancud","6/6/2023","Trauma","Muerte"
"Pudú","Adulto","Ancud  ","6/15/2023","Ataque de perros","Muerte"
"Lechuza","Adulto","Ancud  ","6/15/2023","Atropello","Liberación"
"Chuncho","Adulto","Ancud","6/26/2023","Otro","Liberación"
"Coipo","Adulto","Chonchi","6/26/2023","Atropello","Muerte"
"Queltehue","Adulto","Castro","6/27/2023","Trauma","Muerte"
"Pudú","Adulto","Ancud  ","7/3/2023","Ataque de perros","Liberación"
"Tortuga verde","Adulto","Ancud  ","7/9/2023","Ingreso muerto","Muerte"
"Queltehue","Adulto","Ancud","7/12/2023","Trauma","Muerte"
"Pudú","Adulto","Castro","7/20/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Dalcahue","7/26/2023","Ataque de perros","Muerte"
"Banduria","Adulto","Ancud  ","8/1/2023","Otro","Muerte"
"Lechuza","Adulto","Curaco de Vélez","8/2/2023","Atropello","Rehabilitación"
"Pudú","Adulto","Ancud  ","8/3/2023","Ataque de perros","Muerte"
"Pudú","Adulto"," Quellón","8/7/2023","Ataque de perros","Muerte"
"Bandurria","Adulto","Quellón","8/8/2023","Trauma","Muerte"
"Chuncho","Juvenil","Chonchi","8/10/2023","Atropello","Liberación"
"Pudú","Adulto","Ancud  ","8/11/2023","Otro","Muerte"
"Chuncho","Juvenil","Ancud  ","8/11/2023","Atropello","Liberación"
"Zorro Chilla","Juvenil","Pto Montt","8/12/2023","Atropello","Liberación"
"Pelícano","Adulto","Pto Montt","8/18/2023","Otro","Muerte"
"Tiuque","Juvenil","Puerto Montt","8/25/2023","Trauma","Muerte"
"Loro Cachaña","Juvenil","Puerto Montt","8/25/2023","Trauma","Muerte"
"Pudú","Juvenil","Ancud","9/5/2023","Ataque de perros","Liberación"
"Picaflor chico","Adulto"," Ancud","9/7/2023","Trauma","Muerte"
"Pudú","Adulto","Quellón","9/8/2023","Ataque de perros","Muerte"
"Cotorra de Kramer","Adulto"," Castro","9/13/2023","Otro","Remisión"
"Bandurria","Neonato","Puerto Varas","9/13/2023","Orfandad","Liberación"
"Queltehue","Neonato","Ancud","9/14/2023","Orfandad","Muerte"
"Culebra de cola corta","Adulto"," Castro","9/24/2023","Trauma","Muerte"
"Concon","Adulto","Puerto Varas","10/2/2023","Trauma","Muerte"
"Cisne de Cuello Negro","Neonato","Quemchi","10/4/2023","Orfandad","Muerte"
"Loro Cachaña","Juvenil","Los muermos","10/8/2023","Trauma","Muerte"
"Gato Guiña","Adulto"," Ancud","10/9/2023","Otro","Liberación"
"Pudú","Adulto","Quemchi","10/12/2023","Ataque de perros","Muerte"
"Bandurria","Neonato","Los muermos","10/12/2023","Orfandad","Muerte"
"Bandurria","Neonato","Los muermos","10/12/2023","Orfandad","Muerte"
"Bandurria","Neonato","Llanquihue","10/13/2023","Orfandad","Muerte"
"Jote de Cabeza Negra","Juvenil","Ancud","10/13/2023","Trauma","Muerte"
"Pudú","Adulto","Ancud","10/14/2023","Atropello","Muerte"
"Queltehue","Neonato"," Dalcahue","10/16/2023","Orfandad","Muerte"
"Pitio","Juvenil","Ancud","10/16/2023","Orfandad","Muerte"
"Tiuque","Neonato","Frutillar","10/18/2023","Orfandad","Muerte"
"Queltehue","Juvenil","Dalcahue","10/19/2023","Otro","Muerte"
"Pudú","Adulto","Ancud","10/20/2023","Ataque de perros","Liberación"
"Bandurria","Neonato","Ancud","10/21/2023","Orfandad","Muerte"
"Bandurria","Neonato","Ancud","10/21/2023","Orfandad","Muerte"
"Pudú","Adulto","No data","10/26/2023","Ataque de perros","Muerte"
"Bandurria","Neonato","Ancud","10/26/2023","Orfandad","Muerte"
"Bandurria","Neonato","Ancud","10/26/2023","Orfandad","Muerte"
"Bandurria","Neonato","Ancud","10/26/2023","Orfandad","Rehabilitación"
"Bandurria","Juvenil","Quellón","10/31/2023","Trauma","Rehabilitación"
"loro choroy","Juvenil","Queilen","10/31/2023","Otro","Muerte"
"Pudú","Adulto","Quellón","11/1/2023","Atropello","Muerte"
"Traro","Juvenil","castro","11/1/2023","Otro","Rehabilitación"
"Pudú","Juvenil","ancud","11/4/2023","Ataque de perros","Muerte"
"Pudú","Adulto","quemchi","11/5/2023","Ataque de perros","Muerte"
"Bandurria","Juvenil","Puerto varas","11/6/2023","Orfandad","Muerte"
"Bandurria","Adulto","castro","11/6/2023","Trauma","Muerte"
"Pudú","Adulto"," ancud","11/8/2023","Atropello","Muerte"
"Loro choroy","Juvenil","No data","11/13/2023","Otro","Muerte"
"coipo","Juvenil"," Quellón","11/13/2023","Atropello","Muerte"
"Queltehue","Juvenil","Quinchao","11/14/2023","Trauma","Muerte"
"Loro choroy","Juvenil","Rio negro","11/16/2023","Otro","Muerte"
"Bandurria","Juvenil","Purranque","11/16/2023","Orfandad","Muerte"
"Pudú","Adulto","Ancud","11/17/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Chonchi","19/11//2023","Atropello","Muerte"
"Pudú","Juvenil","Ancud","11/22/2023","Ataque de perros","Muerte"
"Pudú","Adulto","Chonchi","11/26/2023","Ataque de perros","Muerte"
"golondrina","No data","Ancud","11/26/2023","Otro","Muerte"
"Pudú","No data","Ancud","11/28/2023","Ataque de perros","Muerte"
"Bandurria","Neonato","Frutillar ","11/28/2023","Orfandad","Muerte"
"Bandurria","Juvenil","Ancud","11/29/2023","Trauma","Muerte"
"Bandurria","Juvenil","Chonchi","11/29/2023","Orfandad","Muerte"
"Picaflor chico","Neonato","Pto Montt","11/29/2023","Orfandad","Muerte"
"Pudú","No data","Chonchi","12/3/2023","Atropello","Muerte"
"Bandurria","Neonato","Ancud","12/5/2023","Orfandad","Muerte"
"Bandurria","Adulto","Dalcahue","12/5/2023","Otro","Muerte"
"Queltehue","Neonato","Castro ","12/11/2023","Otro","Muerte"
"Cachaña","Juvenil","Castro","12/15/2023","Otro","Rehabilitación"
"Pudú","Adulto","Ancud","12/20/2023","Atropello","Muerte"
"Tiuque","Juvenil","Ancud","20/12/0202","Trauma","Muerte"
"Pudú","Adulto","Quellón","12/26/2023","Atropello","Muerte"
"Pingüino","Juvenil","Ancud","12/26/2023","Trauma","Muerte"
"Monito del monte","Juvenil","Dalcahue","12/27/2023","Otro","Rehabilitación"
"Pudú","Juvenil","Quellón","No data","Atropello","Muerte"
"Bandurria","Adulto","Ancud","12/29/2023","Otro","Rehabilitación"
"Fiofio","No data","Castro","12/29/2023","Otro","Muerte"
"Fiofio","Adulto","Ancud","1/3/2024","Otro","Muerte"
"Golondrina","Neonato","Ancud","1/4/2024","Orfandad","Muerte"
"Golondrina","Neonato","Ancud","1/4/2024","Orfandad","Muerte"
"Pudú","Adulto","Ancud","1/4/2024","Atropello"," Muerte"
"Pudú","Juvenil ","Ancud","1/5/2024","Atropello","Liberación"
"Bandurria","Neonato","Ancud","1/5/2024","Orfandad","Muerte"
"Pudú","Juvenil","Ancud","1/5/2024","Atropello","Muerte"
"Pudú","Neonato","Dalcahue","1/14/2024","Orfandad","Rehabilitación"
"Pingüino magallanico","Adulto","Quinchao","1/16/2024","Otro","Muerte"
"Pudú","Juvenil","Quellón","1/16/2024","Ataque de perros","Muerte"
"Pingüino magallanico","Juvenil","Quellón ","1/16/2024","Trauma ","Rehabilitación"
"Pudú","Adulto","Ancud","1/16/2024","Ataque de perros","Muerte"
"Pingüino magallanico","Juvenil","Ancud","1/16/2024","Otro","Muerte"
"Tiuque","Juvenil","Ancud","1/18/2024","Orfandad","Muerte"
"Pingüino","Juvenil","No data","1/18/2024","Otro","Rehabilitación"
"Pudú","Neonato","Chonchi","1/25/2024","Ataque de perros","Muerte"
"Ratón topo valdiviano","Adulto","Ancud","1/26/2024","Otro","Muerte"
"Golondrina","Neonato","Ancud","1/26/2024","Orfandad","Muerte"
"Golondrina","Neonato","Ancud","1/26/2024","Orfandad","Muerte"
"Golondrina","Neonato","Ancud","1/26/2024","Orfandad","Muerte"
"Golondrina","Neonato","Ancud","1/26/2024","Orfandad","Muerte"
"Pingüino","Juvenil","Castro","1/26/2024","Otro","Muerte"
"Tiuque","Juvenil","Quellón","1/26/2024","Orfandad","Liberación"
"Monito del monte","Neonato","Pto Montt","1/29/2024","Orfandad","Muerte"
"Monito del monte","Neonato","Pto Montt","1/29/2024","Orfandad","Muerte"
"Monito del monte","Neonato","Pto Montt","1/29/2024","Orfandad","Muerte"
"Monito del monte","Neonato","Pto Montt","1/29/2024","Orfandad","Muerte"
"Loro Choroy","Juvenil","Castro","2/4/2024","Trauma","Muerte"
"Pudú","Neonato","Dalcahue","2/5/2024","Ataque de perros","Rehabilitación"
"Tiuque","Juvenil","Pto Varas","2/9/2024","Otro","Rehabilitación"
"Pudú","Neonato","Chonchi","2/11/2024","Orfandad","Muerte"
"Zorro chilla","Juvenil ","Pto Montt","2/12/2024","Otro","Muerte"
"Tiuque","Juvenil","Pto Montt","2/12/2024","Otro","Muerte"
"Pudú","Juvenil","Chonchi","2/12/2024","Ataque de perros","Muerte"
"Zorzal","Neonato","Ancud","2/1/2024","Orfandad","Muerte"
"Pudú","5 años","Castro","2/13/2024","Ataque de perros","Muerte"
"Loro choroy","Juvenil","Ancud","2/15/2024","Trauma","Muerte"
"Ratón topo valdiviano","Juvenil","Ancud","2/18/2024","Otro","Muerte"
"Pudú","Neonato","Ancud","2/19/2024","Orfandad","Rehabilitación"
"Zorro chilote","Adulto","Ancud","2/19/2024","Atropello","Muerte"
"zorro chilote","Juvenil","Ancud","2/22/2024","Orfandad","Rehabilitación"
"Loro Choroy","Juvenil","Chonchi","2/23/2024","Otro","Rehabilitación"
"Chirihue","Juvenil","Castro","2/23/2024","Otro","Muerte"
"Fiofio","Juvenil","Castro","2/23/2024","Otro","Muerte"
"Pudú","Juvenil","Ancud","2/24/2024","Ataque de perros","Muerte"
"Bandurria","Juvenil","Quinchao","2/25/2024","Otro","Muerte"
"Fiofio","Adulto","Ancud","2/25/2024","Trauma","Muerte"
"Pingüino","Juvenil","Ancud","2/25/2024","Otro","Muerte"
"Loro choroy","Juvenil","Puerto Octay","2/26/2024","Otro","Muerte"
"Loro choroy","Juvenil","Calbuco","2/26/2024","Otro","Muerte"
"Loro choroy","Juvenil","Maullín","2/26/2024","Otro","Muerte"
"Pingüino","Juvenil","Ancud","2/26/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","2/29/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","2/29/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","2/29/2024","Otro","Rehabilitación"
"Loro choroy","Adulto","Osorno","2/29/2024","Otro","Muerte"
"Guiña","Neonato","Castro","2/29/2024","Orfandad","Rehabilitación"
"Loro choroy","Juvenil","Osorno ","3/1/2024","Otro","Rehabilitación"
"Loro choroy","Juvenil","Chonchi","3/4/2024","Otro","Muerte"
"Torcaza","Adulto","Chonchi","3/6/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","3/7/2024","Trauma","Muerte"
"Loro choroy","Juvenil","Osorno","3/7/2024","Otro","Muerte"
"Loro choroy","Juvenil","Queilen","7/7/2024","Otro","Rehabilitación"
"Roedores","Neonato","Castro","3/7/2024","Orfandad","Muerte"
"Loro choroy","Juvenil","Dalcahue","3/8/2024","Atropello","Muerte"
"Loro choroy","Juvenil","Castro","3/8/2024","Otro","Muerte"
"Loro choroy","Juvenil","No data","No data","No data","Rehabilitación"
"Loro choroy","Juvenil","Osorno","3/15/2024","Otro","Muerte"
"Torcaza","Neonato","No data","No data","No data","Muerte"
"Loro choroy","","No data","No data","No data","Rehabilitación"
"Loro choroy","","No data","No data","No data","Rehabilitación"
"Pudú","Juvenil","No data","3/15/2024","Atropello","Muerte"
"Loro choroy","Juvenil","Quemchi","3/17/2024","Atropello","Muerte"
"Loro choroy","Juvenil","No data","3/18/2024","Otro","Muerte"
"Tiuque","Juvenil","No data","3/20/2024","Atropello","Muerte"
"Pudú","Neonato","Ancud","3/20/2024","Ataque de perros","Muerte"
"Queltehue","Juvenil","Ancud","3/21/2024","Atropello","Muerte"
"Picaflor","Juvenil","Castro","3/23/2024","Otro","Muerte"
"Picaflor","Juvenil","Ancud","3/20/2024","Otro","Muerte"
"Loro cachaña","Juvenil"," Quellón","3/26/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","3/28/2024","Otro","Muerte"
"Loro choroy","Juvenil","Osorno","3/28/2024","Otro","Rehabilitación"
"Raton colilarga","Neonato","Ancud","3/23/2024","Otro","Liberación"
"Raton colilarga","Neonato","Ancud","3/23/2024","Otro","Liberación"
"Raton colilarga","Neonato","Ancud","3/23/2024","Otro","Liberación"
"Raton colilarga","Neonato","Ancud","3/23/2024","Otro","Liberación"
"Raton colilarga","Neonato","Ancud","3/23/2024","Otro","Muerte"
"Queltehue","Adulto","Chonchi","3/31/2024","Trauma ","Muerte"
"Loro cachaña","Juvenil","Castro","4/3/2024","Remisión","Muerte"
"Loro choroy","Juvenil","Osorno","4/4/2024","Otro","Rehabilitación"
"Loro choroy","Juvenil","Osorno","4/4/2024","Otro","Muerte"
"Gallinita ciega","Juvenil","Castro","4/4/2024","Otro","Muerte"
"Loro choroy","Juvenil","Castro","4/5/2024","Otro","Rehabilitación"
"Loro cachaña","Juvenil","Quellón","4/5/2024","Otro","Muerte"
"Loro choroy","Juvenil","Pto Montt","4/7/2024","Otro","Rehabilitación"
"Tortola","Adulto","Ancud","4/7/2024","Trauma","Muerte"
"Pudú","Adulto","Quellón","4/8/2024","Atropello","Muerte"
"Pingüino","Juvenil","Ancud","4/10/2024","Trauma","Muerte"
"Pudú","Juvenil","Ancud","4/11/2024","Ataque de perros","Muerte"
"Loro choroy","Juvenil","Ancud","4/15/2024","Trauma","Rehabilitación"
"Loro choroy","Adulto","Castro","4/15/2024","Trauma","Rehabilitación"
"Cachaña","Juvenil","Chonchi","4/17/2024","Trauma","Muerte"
"Pudú","Neonato","Dalcahue","4/18/2024","Ataque de perros","Rehabilitación"
"Lobo marino","Neonato","Ancud","4/19/2024","Otro","Muerte"
"Loro choroy","Juvenil","Castro","4/21/2024","Trauma","Rehabilitación"
"Murcielago peludo colorado","No data","Ancud","4/22/2024","Trauma","Muerte"
"Huairavo","Juvenil","Dalcahue","4/24/2024","Trauma","Rehabilitación"
"Loro choroy","Juvenil","Quellón","4/26/2024","Trauma","Rehabilitación"
"Torcaza","Juvenil","Castro","4/26/2024","Trauma ","Muerte"
"Becasina grande","Adulto","Quellón","5/3/2024","Otro","Muerte"
"Zorzal","Juvenil","Ancud","5/4/2024","Atropello","Muerte"
"Gaviota","Adulto","Ancud","5/5/2024","Ataque de perros","Liberación"
"Pudú","Juvenil","Dalcahue","5/7/2024","Atropello","Muerte"
"Pudú","Juvenil","Dalcahue","5/7/2024","Atropello","Muerte "
"Pelícano","Juvenil","Ancud","5/7/2024","Otro","Liberación"
"Cachaña","Juvenil","Quellón","5/9/2024","Otro","Muerte"
"Zorzal","Juvenil","Ancud","5/10/2024","Otro","Muerte"
"tiuque","Juvenil","No data","5/13/2024","Otro","Rehabilitación"
"pudú","Adulto","chonchi","5/13/2024","Ataque de perros","Rehabilitación"
"Albatros ceja negra","Juvenil"," Chonchi","5/13/2024","Otro","Muerte"
"Yeco","Juvenil","No data","5/15/2024","Otro","Muerte"
"Petrel gigante antartico","Juvenil","No data","5/16/2024","Otro","Muerte"
"Pudú","Neonato","Ancud","No data","Atropello","Muerte"
"Pelícano","Neonato","No data","5/20/2024","Otro","Liberación"
"Cachaña","Juvenil","Quellón","5/9/2024","Trauma","Muerte"
"Pudú","Juvenil","Quemchi","5/24/2024","Ataque de perros","Rehabilitación"
"Pudú","Juvenil","Ancud","5/29/2024","Ataque de perros","Muerte"
"Pudú","Neonato","chonchi","5/31/2024","Trauma","Muerte"
"Pudú","Juvenil","Ancud","6/2/2024","Ataque de perros","Muerte"
"Pudú","Juvenil","Dalcahue","6/5/2024","Atropello","Muerte"
"Gaviota cahuil","Adulto","Quinchao","6/13/2024","Otro","Muerte"
"Monito del monte","Neonato","Ancud","6/13/2024","Otro","Rehabilitación"
"Cormoran yeco","Juvenil","Ancud ","6/14/2024","Otro","Muerte"
"Gaviota dominicana","Adulto","Ancud ","6/17/2024","Trauma","Rehabilitación"
